305276,1,106231
305276,2,137225
305277,1,106237
305277,2,137231
305280,1,106247
305280,2,137237
305416,1,112030
305416,1,112031
305416,2,112773
305424,1,112033
305424,2,112784
305429,1,112040
305429,2,112793
305429,2,112794
305435,1,112046
305435,2,112806
305436,1,112051
305436,2,112808
306026,1,133430
306026,2,111891
306031,1,133432
306031,2,111896
306304,1,144155
306304,2,112766
306307,1,144143
306307,2,111891
306309,1,144158
306309,2,112784
306314,1,144163
306314,2,112793
306314,2,112794
306317,1,144167
306317,2,112805
306318,1,144150
306318,2,111896
306319,1,144169
306319,2,112808
308292,1,112766
308292,2,101952
308296,1,112773
308296,2,101953
308301,1,112784
308301,2,101955
308304,1,112793
308304,1,112794
308304,2,101958
308320,1,112030
308320,1,112031
308320,2,112904
308330,1,111892
308330,2,101955
308334,1,112040
308334,2,112907
308924,1,133432
308924,2,111941
309189,1,144060
309189,2,101955
309198,1,144163
309198,2,112907
309204,1,144150
309204,2,111941
312733,1,102767
312733,2,137320
312734,1,102771
312734,2,137326
312737,1,102777
312737,2,137335
313006,1,112805
313006,2,101929
313024,1,111886
313024,2,101909
313025,1,112030
313025,1,112031
313025,2,112866
313025,2,112867
313030,1,111888
313030,2,101916
313030,2,101917
313034,1,112033
313034,2,112870
313037,1,111892
313037,2,101922
313041,1,112040
313041,2,112873
313048,1,111895
313048,2,101929
313867,1,133430
313867,2,111928
314256,1,144143
314256,2,111928
314259,1,144158
314259,2,112870
314263,1,144060
314263,2,101922
314268,1,144163
314268,2,112873
314269,1,144148
314269,2,111931
329933,1,107159
329933,2,102144
329937,1,107162
329937,2,102150
329941,1,107165
329941,2,102166
329944,1,107166
329944,2,102177
329947,1,107168
329947,2,102191
330865,1,133430
330865,2,112034
330867,1,133431
330867,2,112043
330870,1,133432
330870,2,112049
330947,1,137221
330947,2,102144
330956,1,137224
330956,2,102150
330962,1,137228
330962,2,102166
330964,1,137230
330964,2,102173
330967,1,137233
330967,2,102177
330971,1,137235
330971,2,102190
330974,1,137238
330974,2,102191
330977,1,138817
330977,2,102144
330981,1,138821
330981,2,102150
330984,1,138823
330984,2,102166
330989,1,138830
330989,1,138831
330989,2,102191
331132,1,144143
331132,2,112034
331133,1,144148
331133,2,112043
331134,1,144150
331134,2,112049
333051,1,102136
333051,1,102137
333051,2,112992
333054,1,102148
333054,2,113000
