101908,1,102766
101908,2,137319
101913,1,102770
101913,2,137323
101924,1,102779
101924,2,137339
102674,1,102129
102674,2,112354
105810,1,106248
105810,2,137423
106262,1,106229
106262,2,137734
106270,1,106251
106270,2,137740
106366,1,105795
106366,2,112516
106373,1,105806
106373,2,113716
106375,1,105800
106375,2,112527
107253,1,107486
107253,2,138963
111924,1,111886
111924,2,102766
111924,3,137319
111930,1,111939
111930,2,107199
112413,1,111886
112413,2,102766
113499,1,112998
113499,2,112352
113710,1,112996
113710,2,112518
113713,1,113001
113713,2,112520
133423,1,133431
133423,2,111931
133516,1,133436
133516,2,113582
137410,1,137228
137410,2,102127
137685,1,137420
137685,2,113500
137814,1,137736
137814,2,139355
138866,1,139270
138866,2,137335
138965,1,138976
138965,2,113011
144059,1,144157
144059,2,112783
144087,1,144156
144087,2,112864
144088,1,144144
144088,2,111929
144092,1,144063
144092,2,101928
144093,1,144575
144093,2,138868
144095,1,144066
144095,2,101929
144110,1,144572
144110,2,138882
144160,1,144145
144160,2,112038
144161,1,144146
144161,2,112039
144543,1,144574
144543,2,139271
