Filename                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
fuzz/clock.c                              24                 1    95.83%           4                 0   100.00%          35                 1    97.14%
fuzz/pcsc.c                               59                 0   100.00%           8                 0   100.00%          75                12    84.00%
fuzz/prng.c                               31                 0   100.00%           2                 0   100.00%          35                 1    97.14%
fuzz/udev.c                              110                 2    98.18%          17                 0   100.00%         126                12    90.48%
fuzz/uniform_random.c                      7                 1    85.71%           1                 0   100.00%          12                 1    91.67%
fuzz/wrap.c                               23                 0   100.00%           3                 0   100.00%          29                 0   100.00%
openbsd-compat/explicit_bzero.c            4                 0   100.00%           1                 0   100.00%           7                 0   100.00%
openbsd-compat/freezero.c                  4                 0   100.00%           1                 0   100.00%           6                 0   100.00%
openbsd-compat/recallocarray.c            41                 7    82.93%           1                 0   100.00%          36                 7    80.56%
openbsd-compat/timingsafe_bcmp.c           4                 0   100.00%           1                 0   100.00%           7                 0   100.00%
src/aes256.c                             118                 3    97.46%           8                 0   100.00%         157                11    92.99%
src/assert.c                             605                43    92.89%          59                 3    94.92%         745                46    93.83%
src/authkey.c                             52                 0   100.00%           5                 0   100.00%          66                 0   100.00%
src/bio.c                                451                20    95.57%          49                 2    95.92%         587                24    95.91%
src/blob.c                                53                 2    96.23%          10                 0   100.00%          83                 4    95.18%
src/buf.c                                  8                 1    87.50%           2                 0   100.00%          16                 1    93.75%
src/cbor.c                              1070                13    98.79%          55                 0   100.00%        1258                31    97.54%
src/compress.c                           105                14    86.67%           5                 0   100.00%         122                24    80.33%
src/config.c                             112                 0   100.00%          11                 0   100.00%         152                 0   100.00%
src/cred.c                               651                38    94.16%          69                 2    97.10%         849                43    94.94%
src/credman.c                            422                10    97.63%          40                 0   100.00%         557                20    96.41%
src/dev.c                                332                65    80.42%          41                 6    85.37%         378                80    78.84%
src/ecdh.c                               117                 2    98.29%           4                 0   100.00%         146                 5    96.58%
src/eddsa.c                               88                 5    94.32%          10                 0   100.00%         114                 9    92.11%
src/err.c                                122                10    91.80%           1                 0   100.00%         126                10    92.06%
src/es256.c                              315                 7    97.78%          19                 0   100.00%         372                12    96.77%
src/es384.c                              158                 8    94.94%          11                 0   100.00%         198                15    92.42%
src/hid.c                                 87                 2    97.70%          14                 0   100.00%         145                 3    97.93%
src/hid_linux.c                          184                73    60.33%          14                 7    50.00%         263               115    56.27%
src/hid_unix.c                            29                21    27.59%           2                 0   100.00%          43                26    39.53%
src/info.c                               232                 0   100.00%          51                 0   100.00%         409                 0   100.00%
src/io.c                                 193                 7    96.37%          13                 0   100.00%         230                12    94.78%
src/iso7816.c                             18                 1    94.44%           5                 0   100.00%          38                 1    97.37%
src/largeblob.c                          525                18    96.57%          30                 0   100.00%         693                43    93.80%
src/log.c                                 39                 5    87.18%           7                 1    85.71%          63                 7    88.89%
src/netlink.c                            329                 8    97.57%          40                 0   100.00%         498                15    96.99%
src/nfc.c                                155                 5    96.77%          12                 0   100.00%         244                15    93.85%
src/nfc_linux.c                          172                77    55.23%          13                 7    46.15%         242               126    47.93%
src/pcsc.c                               204                 1    99.51%          13                 0   100.00%         282                 3    98.94%
src/pin.c                                426                 3    99.30%          26                 0   100.00%         514                 4    99.22%
src/random.c                               6                 0   100.00%           1                 0   100.00%           6                 0   100.00%
src/reset.c                               24                 0   100.00%           3                 0   100.00%          23                 0   100.00%
src/rs1.c                                 25                 1    96.00%           3                 0   100.00%          39                 3    92.31%
src/rs256.c                              149                10    93.29%          13                 0   100.00%         182                14    92.31%
src/time.c                                43                 3    93.02%           3                 0   100.00%          43                 2    95.35%
src/touch.c                               67                 0   100.00%           2                 0   100.00%          79                 0   100.00%
src/tpm.c                                103                 0   100.00%           9                 0   100.00%         194                 0   100.00%
src/types.c                               29                 0   100.00%           7                 0   100.00%          56                 0   100.00%
src/u2f.c                                572                 4    99.30%          17                 0   100.00%         726                12    98.35%
src/util.c                                14                 1    92.86%           1                 0   100.00%          14                 1    92.86%

Files which contain no functions:
fuzz/mutator_aux.h                         0                 0         -           0                 0         -           0                 0         -
openbsd-compat/openbsd-compat.h            0                 0         -           0                 0         -           0                 0         -
openbsd-compat/time.h                      0                 0         -           0                 0         -           0                 0         -
src/extern.h                               0                 0         -           0                 0         -           0                 0         -
src/fallthrough.h                          0                 0         -           0                 0         -           0                 0         -
src/fido.h                                 0                 0         -           0                 0         -           0                 0         -
src/fido/err.h                             0                 0         -           0                 0         -           0                 0         -
src/fido/param.h                           0                 0         -           0                 0         -           0                 0         -
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                   8711               492    94.35%         737                28    96.20%       11320               771    93.19%
