File '/libfido2/src/aes256.c':
Name                         Regions    Miss   Cover     Lines    Miss   Cover
--------------------------------------------------------------------------------------------------------
aes256_cbc_enc                     4       0 100.00%         4       0 100.00%
aes256_cbc_dec                     4       0 100.00%         4       0 100.00%
aes256_gcm_enc                     1       0 100.00%         3       0 100.00%
aes256_gcm_dec                     1       0 100.00%         3       0 100.00%
aes256.c:aes256_cbc_fips          26       1  96.15%        42       4  90.48%
aes256.c:aes256_cbc               29       1  96.55%        36       3  91.67%
aes256.c:aes256_cbc_proto1         1       0 100.00%         5       0 100.00%
aes256.c:aes256_gcm               52       1  98.08%        60       4  93.33%
--------------------------------------------------------------------------------------------------------
TOTAL                            118       3  97.46%       157      11  92.99%

File '/libfido2/src/assert.c':
Name                                  Regions    Miss   Cover     Lines    Miss   Cover
-----------------------------------------------------------------------------------------------------------------
fido_dev_get_assert                        40       0 100.00%        35       0 100.00%
fido_check_flags                           13       0 100.00%        15       0 100.00%
fido_get_signed_hash                       20       1  95.00%        34       3  91.18%
fido_assert_verify                         50       4  92.00%        70       7  90.00%
fido_assert_set_clientdata                 12      12   0.00%        11      11   0.00%
fido_assert_set_clientdata_hash             8       0 100.00%         6       0 100.00%
fido_assert_set_hmac_salt                  10       0 100.00%         6       0 100.00%
fido_assert_set_hmac_secret                12      12   0.00%         7       7   0.00%
fido_assert_set_rp                         12       0 100.00%        11       0 100.00%
fido_assert_allow_cred                     13       2  84.62%        22       3  86.36%
fido_assert_set_extensions                 14       0 100.00%        10       0 100.00%
fido_assert_set_options                     8       8   0.00%         5       5   0.00%
fido_assert_set_up                          2       0 100.00%         4       0 100.00%
fido_assert_set_uv                          2       0 100.00%         4       0 100.00%
fido_assert_clientdata_hash_ptr             1       0 100.00%         3       0 100.00%
fido_assert_clientdata_hash_len             1       0 100.00%         3       0 100.00%
fido_assert_new                             1       0 100.00%         3       0 100.00%
fido_assert_reset_tx                        1       0 100.00%        12       0 100.00%
fido_assert_reset_rx                        4       0 100.00%        19       0 100.00%
fido_assert_free                            6       0 100.00%         9       0 100.00%
fido_assert_count                           1       0 100.00%         3       0 100.00%
fido_assert_rp_id                           1       0 100.00%         3       0 100.00%
fido_assert_flags                           4       0 100.00%         5       0 100.00%
fido_assert_sigcount                        4       0 100.00%         5       0 100.00%
fido_assert_authdata_ptr                    4       0 100.00%         5       0 100.00%
fido_assert_authdata_len                    4       0 100.00%         5       0 100.00%
fido_assert_sig_ptr                         4       0 100.00%         5       0 100.00%
fido_assert_sig_len                         4       0 100.00%         5       0 100.00%
fido_assert_id_ptr                          4       0 100.00%         5       0 100.00%
fido_assert_id_len                          4       0 100.00%         5       0 100.00%
fido_assert_user_id_ptr                     4       0 100.00%         5       0 100.00%
fido_assert_user_id_len                     4       0 100.00%         5       0 100.00%
fido_assert_user_icon                       4       0 100.00%         5       0 100.00%
fido_assert_user_name                       4       0 100.00%         5       0 100.00%
fido_assert_user_display_name               4       0 100.00%         5       0 100.00%
fido_assert_hmac_secret_ptr                 4       0 100.00%         5       0 100.00%
fido_assert_hmac_secret_len                 4       0 100.00%         5       0 100.00%
fido_assert_largeblob_key_ptr               4       0 100.00%         5       0 100.00%
fido_assert_largeblob_key_len               4       0 100.00%         5       0 100.00%
fido_assert_blob_ptr                        4       0 100.00%         5       0 100.00%
fido_assert_blob_len                        4       0 100.00%         5       0 100.00%
fido_assert_set_authdata                   24       0 100.00%        28       0 100.00%
fido_assert_set_authdata_raw               24       0 100.00%        27       0 100.00%
fido_assert_set_sig                        14       0 100.00%         7       0 100.00%
fido_assert_set_count                      10       0 100.00%        17       0 100.00%
assert.c:fido_dev_get_assert_wait          21       0 100.00%        14       0 100.00%
assert.c:fido_dev_get_assert_tx            56       2  96.43%        62       5  91.94%
assert.c:fido_dev_get_assert_rx            27       0 100.00%        36       0 100.00%
assert.c:adjust_assert_count               24       0 100.00%        26       0 100.00%
assert.c:parse_assert_reply                12       0 100.00%        24       0 100.00%
assert.c:fido_get_next_assert_tx            8       0 100.00%         8       0 100.00%
assert.c:fido_get_next_assert_rx           23       2  91.30%        29       5  82.76%
assert.c:decrypt_hmac_secrets               9       0 100.00%        15       0 100.00%
assert.c:get_es256_hash                    16       0 100.00%        17       0 100.00%
assert.c:get_es384_hash                    16       0 100.00%        17       0 100.00%
assert.c:get_eddsa_hash                     6       0 100.00%         9       0 100.00%
assert.c:check_extensions                   5       0 100.00%         9       0 100.00%
assert.c:fido_assert_reset_extattr          1       0 100.00%         5       0 100.00%
assert.c:fido_assert_clean_authdata         1       0 100.00%         5       0 100.00%
-----------------------------------------------------------------------------------------------------------------
TOTAL                                     605      43  92.89%       745      46  93.83%

File '/libfido2/src/authkey.c':
Name                                  Regions    Miss   Cover     Lines    Miss   Cover
-----------------------------------------------------------------------------------------------------------------
fido_dev_authkey                            1       0 100.00%         3       0 100.00%
authkey.c:fido_dev_authkey_wait            10       0 100.00%         7       0 100.00%
authkey.c:fido_dev_authkey_tx              19       0 100.00%        25       0 100.00%
authkey.c:fido_dev_authkey_rx              14       0 100.00%        21       0 100.00%
authkey.c:parse_authkey                     8       0 100.00%        10       0 100.00%
-----------------------------------------------------------------------------------------------------------------
TOTAL                                      52       0 100.00%        66       0 100.00%

File '/libfido2/src/bio.c':
Name                                  Regions    Miss   Cover     Lines    Miss   Cover
-----------------------------------------------------------------------------------------------------------------
fido_bio_dev_get_template_array             5       2  60.00%         6       1  83.33%
fido_bio_dev_set_template_name              7       0 100.00%         6       0 100.00%
fido_bio_dev_enroll_begin                  25       2  92.00%        31       1  96.77%
fido_bio_dev_enroll_continue                5       2  60.00%         6       1  83.33%
fido_bio_dev_enroll_cancel                  1       1   0.00%         4       4   0.00%
fido_bio_dev_enroll_remove                  1       0 100.00%         4       0 100.00%
fido_bio_dev_get_info                       1       0 100.00%         4       0 100.00%
fido_bio_template_name                      1       0 100.00%         3       0 100.00%
fido_bio_template_id_ptr                    1       0 100.00%         3       0 100.00%
fido_bio_template_id_len                    1       0 100.00%         3       0 100.00%
fido_bio_template_array_count               1       0 100.00%         3       0 100.00%
fido_bio_template_array_new                 1       0 100.00%         3       0 100.00%
fido_bio_template_new                       1       0 100.00%         3       0 100.00%
fido_bio_template_array_free                6       0 100.00%         8       0 100.00%
fido_bio_template_free                      6       0 100.00%         8       0 100.00%
fido_bio_template_set_name                  8       0 100.00%         7       0 100.00%
fido_bio_template_set_id                    8       0 100.00%         6       0 100.00%
fido_bio_template                           4       0 100.00%         5       0 100.00%
fido_bio_enroll_new                         1       0 100.00%         3       0 100.00%
fido_bio_info_new                           1       0 100.00%         3       0 100.00%
fido_bio_info_type                          1       0 100.00%         3       0 100.00%
fido_bio_info_max_samples                   1       0 100.00%         3       0 100.00%
fido_bio_enroll_free                        6       0 100.00%         8       0 100.00%
fido_bio_info_free                          6       0 100.00%         7       0 100.00%
fido_bio_enroll_remaining_samples           1       0 100.00%         3       0 100.00%
fido_bio_enroll_last_status                 1       0 100.00%         3       0 100.00%
bio.c:bio_get_template_array_wait          11       0 100.00%         7       0 100.00%
bio.c:bio_tx                               43       0 100.00%        55       0 100.00%
bio.c:bio_prepare_hmac                     18       0 100.00%        29       0 100.00%
bio.c:bio_rx_template_array                19       0 100.00%        24       0 100.00%
bio.c:bio_parse_template_array             26       1  96.15%        27       4  85.19%
bio.c:decode_template_array                12       1  91.67%        18       3  83.33%
bio.c:decode_template                       9       0 100.00%        15       0 100.00%
bio.c:bio_set_template_name_wait           19       0 100.00%        20       0 100.00%
bio.c:bio_enroll_begin_wait                17       0 100.00%        19       0 100.00%
bio.c:bio_rx_enroll_begin                  23       0 100.00%        31       0 100.00%
bio.c:bio_parse_enroll_status              20       0 100.00%        28       0 100.00%
bio.c:bio_parse_template_id                 8       0 100.00%        10       0 100.00%
bio.c:bio_enroll_continue_wait             19       0 100.00%        20       0 100.00%
bio.c:bio_rx_enroll_continue               19       0 100.00%        25       0 100.00%
bio.c:bio_enroll_cancel_wait               11      11   0.00%        10      10   0.00%
bio.c:bio_enroll_remove_wait               17       0 100.00%        19       0 100.00%
bio.c:bio_get_info_wait                    11       0 100.00%        10       0 100.00%
bio.c:bio_rx_info                          19       0 100.00%        24       0 100.00%
bio.c:bio_reset_info                        1       0 100.00%         4       0 100.00%
bio.c:bio_parse_info                       20       0 100.00%        28       0 100.00%
bio.c:bio_reset_template_array              4       0 100.00%         7       0 100.00%
bio.c:bio_reset_template                    1       0 100.00%         5       0 100.00%
bio.c:bio_reset_enroll                      3       0 100.00%         6       0 100.00%
-----------------------------------------------------------------------------------------------------------------
TOTAL                                     451      20  95.57%       587      24  95.91%

File '/libfido2/src/blob.c':
Name                                  Regions    Miss   Cover     Lines    Miss   Cover
-----------------------------------------------------------------------------------------------------------------
fido_blob_new                               1       0 100.00%         3       0 100.00%
fido_blob_reset                             1       0 100.00%         4       0 100.00%
fido_blob_set                               9       0 100.00%        15       0 100.00%
fido_blob_append                           12       1  91.67%        20       3  85.00%
fido_blob_free                              6       0 100.00%         8       0 100.00%
fido_free_blob_array                        7       0 100.00%        12       0 100.00%
fido_blob_encode                            6       0 100.00%         5       0 100.00%
fido_blob_decode                            1       0 100.00%         3       0 100.00%
fido_blob_is_empty                          3       0 100.00%         3       0 100.00%
fido_blob_serialise                         7       1  85.71%        10       1  90.00%
-----------------------------------------------------------------------------------------------------------------
TOTAL                                      53       2  96.23%        83       4  95.18%

File '/libfido2/src/buf.c':
Name                                  Regions    Miss   Cover     Lines    Miss   Cover
-----------------------------------------------------------------------------------------------------------------
fido_buf_read                               4       0 100.00%         8       0 100.00%
fido_buf_write                              4       1  75.00%         8       1  87.50%
-----------------------------------------------------------------------------------------------------------------
TOTAL                                       8       1  87.50%        16       1  93.75%

File '/libfido2/src/cbor.c':
Name                                   Regions    Miss   Cover     Lines    Miss   Cover
------------------------------------------------------------------------------------------------------------------
cbor_map_iter                               20       1  95.00%        26       4  84.62%
cbor_array_iter                             12       0 100.00%        16       0 100.00%
cbor_parse_reply                            27       0 100.00%        36       0 100.00%
cbor_vector_free                             6       0 100.00%         5       0 100.00%
cbor_bytestring_copy                        14       0 100.00%        18       0 100.00%
cbor_string_copy                            14       0 100.00%        18       0 100.00%
cbor_add_bytestring                         14       0 100.00%        21       0 100.00%
cbor_add_string                             14       0 100.00%        21       0 100.00%
cbor_add_bool                               14       0 100.00%        21       0 100.00%
cbor_flatten_vector                         14       1  92.86%        16       1  93.75%
cbor_build_frame                            15       0 100.00%        25       0 100.00%
cbor_encode_rp_entity                       13       0 100.00%        11       0 100.00%
cbor_encode_user_entity                     21       0 100.00%        15       0 100.00%
cbor_encode_pubkey_param                    36       0 100.00%        39       0 100.00%
cbor_encode_pubkey                          10       0 100.00%        11       0 100.00%
cbor_encode_pubkey_list                     18       0 100.00%        19       0 100.00%
cbor_encode_str_array                       18       0 100.00%        19       0 100.00%
cbor_encode_cred_ext                        55       0 100.00%        50       0 100.00%
cbor_encode_cred_opt                        13       0 100.00%        11       0 100.00%
cbor_encode_assert_opt                      13       0 100.00%        11       0 100.00%
cbor_encode_pin_auth                        21       1  95.24%        22       3  86.36%
cbor_encode_pin_opt                          4       0 100.00%         8       0 100.00%
cbor_encode_change_pin_auth                 32       1  96.88%        36       3  91.67%
cbor_encode_assert_ext                      33       0 100.00%        32       0 100.00%
cbor_decode_fmt                             13       0 100.00%        15       0 100.00%
cbor_decode_pubkey                          26       1  96.15%        36       2  94.44%
cbor_decode_cred_authdata                   31       1  96.77%        35       3  91.43%
cbor_decode_assert_authdata                 21       0 100.00%        32       0 100.00%
cbor_decode_attstmt                         13       0 100.00%        16       0 100.00%
cbor_decode_uint64                           4       0 100.00%         8       0 100.00%
cbor_decode_cred_id                          8       0 100.00%         9       0 100.00%
cbor_decode_user                             8       0 100.00%         9       0 100.00%
cbor_decode_rp_entity                        8       0 100.00%         9       0 100.00%
cbor_decode_bool                            10       0 100.00%        11       0 100.00%
